# zee-spec-madde-kaniti-1
# madde	ozet	durum	kanit	not
spec/24-kaynak-guvenlik-profili.md#5398cf0ba01acaf0	LSP sunucusu en çok 256 açık belge ve toplam 128 MiB belge metni saklar.…	kanitli	compiler/tests/lsp_testi.rs::butun_uretim_yollari_gecerli_ve_butceli_json_verir;compiler/tests/lsp_testi.rs::json_derinlik_butcesini_asmadan_durur;compiler/tests/lsp_testi.rs::json_dugum_butcesini_asmadan_durur;compiler/tests/lsp_testi.rs::json_rpc_parse_error_ile_invalid_request_ayrilir;compiler/src/lsp.rs::acik_belge_sayisi_sinirli_ve_reddedilen_belge_saklanmaz;compiler/src/lsp.rs::uretim_sirasinda_tasan_lsp_yaniti_json_rpc_hatasina_donusur;compiler/src/lsp/cikti.rs::ham_parca_tahsis_edilmeden_once_reddedilir	
spec/24-kaynak-guvenlik-profili.md#a4c471766e48a41f	Playground tek kaynak metnini en çok 8 MiB, soru yanıtı metnini en çok 1…	kanitli	compiler/tests/playground_testi.rs::playground_kaynagi_derlemeden_once_kendi_butcesinde_reddeder;compiler/tests/playground_testi.rs::playground_soru_girdisini_satir_toplamadan_once_sinirlar;compiler/tests/playground_testi.rs::cabi_playground_limitlerini_hosta_bildirir_ve_kopyalamadan_reddeder;compiler/tests/mimari_sinir_testi.rs::playground_girdisi_koleksiyondan_once_tek_profilden_sinirlanir	
spec/24-kaynak-guvenlik-profili.md#6077d317d3fd2556	Sorgu 64 KiB, parametre listesi 100 öğe, tek parametre 64 KiB, okuma son…	kismi	compiler/tests/mimari_sinir_testi.rs::domain_kaynak_limitleri_tek_profilden_beslenir;compiler/src/kaynak_sinirlari/testler.rs::varsayilan_profil_kritik_limitleri_sifira_birakmaz	Değerlerin tek profilden okunması mimari testle kanıtlı; sorgu/parametre/sonuç/migration sınırının bir fazlasında red gerçek PostgreSQL gerektirdiği için hermetik CI'da yok.
spec/25-postgresql-veri-erisimi.md#9b6470d50a7622ac	Normatif kaynak: RFC-0026, ADR-060, ADR-062. Durum: **TANIMLI — K-163/F0…	kanitli	compiler/tests/postgresql_testi.rs::okuma_parametreyi_sql_metininden_ayri_tasir;compiler/tests/postgresql_testi.rs::veritabani_hatasi_yapilandirilmis_sonuc_verisine_donusur;compiler/tests/intrinsic_lowering_testi.rs::postgresql_yuzeyi_sorgu_ve_parametreleri_ayri_intrinsice_indirir	
spec/25-postgresql-veri-erisimi.md#17cfeb6b915ed9a4	PostgreSQL kullanan proje `veritabanı` yetkinliğini ve şu üç alanı birli…	kanitli	compiler/tests/proje_testi.rs::postgresql_bildirimi_sirri_kaynaga_almadan_kesin_hedefi_kilitler	
spec/25-postgresql-veri-erisimi.md#0027bed25af7818e	Hedef kullanıcı/parola/query taşıyamaz; kanonik küçük ASCII DNS adı, IPv…	kanitli	compiler/tests/proje_testi.rs::postgresql_bildirimi_sirri_kaynaga_almadan_kesin_hedefi_kilitler;compiler/src/postgresql.rs::baglanti_tam_bildirim_hedefi_ve_guvensiz_profilde_kilitlidir;compiler/src/postgresql/havuz.rs::tls_profili_plaintext_uzak_hedefi_preferi_ve_koksuz_requirei_reddeder	
spec/25-postgresql-veri-erisimi.md#61d77038cc9e2321	`sslmode=require`, `<BAĞLANTI_DEĞİŞKENİ>_TLS_CA_PEM` ortam değişkeninde …	kismi	compiler/src/postgresql/havuz.rs::tls_profili_plaintext_uzak_hedefi_preferi_ve_koksuz_requirei_reddeder;compiler/src/postgresql/havuz.rs::saha_profili_gercek_tls_exhaustion_ve_stale_recoveryyi_olcer	Köksüz require ve prefer reddi hermetik; gerçek hostname/CA reddi ile TLS 1.2 tabanı yalnız ortam değişkenli saha testinde koşar.
spec/25-postgresql-veri-erisimi.md#d1bef824169efd6e	- Okuma sütunları non-null metin olmak ZORUNDADIR. Farklı PostgreSQL tip…	kismi	compiler/tests/postgresql_testi.rs::okuma_parametreyi_sql_metininden_ayri_tasir;compiler/tests/io_izi_testi.rs::postgresql_okuma_yazma_ve_yapilandirilmis_hata_izden_aynen_oynatilir	TEXT bind ve metin sütun sözleşmesi hermetik sahte adaptörle kanıtlı; NULL/non-text sütunun gerçek sürücüde reddi CI'da PostgreSQL olmadığı için saha testindedir.
spec/25-postgresql-veri-erisimi.md#acfa2961d9a1ba52	Değişiklik application/state write etkisidir; GET/HEAD rotasında ve eyle…	kanitli	compiler/tests/intrinsic_lowering_testi.rs::postgresql_yuzeyi_sorgu_ve_parametreleri_ayri_intrinsice_indirir;compiler/tests/web_testi.rs::get_dogrudan_ve_dolayli_yazmayi_reddeder;compiler/tests/web_testi.rs::yazan_post_rotasi_mutlaka_eylem_cagirir;compiler/tests/io_izi_testi.rs::dosya_yasam_dongusu_izi_fiziksel_etki_yapmadan_oynatilir	
spec/25-postgresql-veri-erisimi.md#f94f82cb0245cf0a	Managed-provider sertifika rotasyonu, birden çok worker'ın toplam bütçe …	acik	-	K-169/K-173 release tatbikatı ve çok-worker toplam bütçe provası bekliyor; async driver, PostgreSQL dışı DB ve ORM vaat edilmiyor.
spec/26-binary-yukleme-ve-dosya-yasam-dongusu.md#71d603fe37b0b83a	Unsafe rota CSRF belirtecini tek `X-Zee-CSRF` başlığından alır. Birden ç…	kanitli	compiler/src/main.rs::binary_yukleme_x_zee_csrf_basligini_tasir_ve_cift_content_type_400_olur;compiler/tests/dosya_yasam_dongusu_testi.rs::atomik_yayin_silme_ve_orphan_listesi_sonuc_tasir;compiler/src/web_yukleme.rs::utf8_olmayan_parcalari_akista_ozetler;compiler/src/main.rs::soket_okumasi_mutlak_son_tarihi_gecemez	
spec/26-binary-yukleme-ve-dosya-yasam-dongusu.md#7fcd40c4399e5938	Bu işlemler sırasıyla `dosya-yazma`/`dosya-okuma` yetkinliklerine bağlıd…	kanitli	compiler/tests/dosya_yasam_dongusu_testi.rs::atomik_yayin_silme_ve_orphan_listesi_sonuc_tasir;compiler/tests/dosya_yasam_dongusu_testi.rs::var_olan_hedef_ezilmez_ve_kaynak_korunur;compiler/tests/io_izi_testi.rs::dosya_yasam_dongusu_izi_fiziksel_etki_yapmadan_oynatilir;compiler/tests/intrinsic_lowering_testi.rs::intrinsic_kaydi_kimlik_yetkinlik_ve_etkiyi_tekillestirir;compiler/src/kalici_dosya/yasam_dongusu.rs::hazirlanmis_dosya_atomik_yayinlanir_ve_hedef_ezilmez;compiler/src/kalici_dosya/yasam_dongusu.rs::atomik_silme_bulunmayan_hedefte_idempotenttir	
spec/27-uyumluluk-ve-surumleme.md#14f965c7dec44043	Normatif kaynak: RFC-0028, ADR-064, ADR-025, ADR-058. Durum: **TANIMLI —…	kanitli	compiler/tests/uyumluluk_testi.rs::dondurulmus_yuzey_envanteri_kaynakla_birebir;compiler/tests/uyumluluk_testi.rs::deprecation_kayitlari_gecerli_ve_kaynakla_tutarli	
spec/27-uyumluluk-ve-surumleme.md#3f339a6d66da9a42	- Derleyici sürümü SemVer `X.Y.Z`dir; etiket sonrası çalışma ağacı `X.(Y…	kanitli	compiler/tests/uyumluluk_testi.rs::surum_kimligi_gelistirme_serisini_yayimlanmis_sanmaz	
spec/27-uyumluluk-ve-surumleme.md#b31a6f2c9df44412	- `dil sürüm`, LSP `serverInfo.version` ve yayın SBOM'u aynı kimliği bas…	kismi	compiler/tests/uyumluluk_testi.rs::surum_kimligi_gelistirme_serisini_yayimlanmis_sanmaz;compiler/tests/proje_testi.rs::surum_komutu_etkin_morfoloji_profilini_gosterir;compiler/tests/lsp_testi.rs::initialize_yaniti	Üç yüzey aynı CARGO_PKG_VERSION sabitini okur; SBOM/LSP/CLI çıktılarını birbirine eşitleyen ayrı test yok.
spec/27-uyumluluk-ve-surumleme.md#469ab9bb52875ab1	- Her yüzey öğesi `dil-yuzeyi-v1.tsv` (kelime ve biçimler) ya da kendi s…	kanitli	compiler/tests/uyumluluk_testi.rs::dondurulmus_yuzey_envanteri_kaynakla_birebir;compiler/tests/tani_kimligi_testi.rs::tani_kodlari_surumler_arasi_kimligini_korur	
spec/27-uyumluluk-ve-surumleme.md#a34e86a6b924d17c	- Kayıtsız öğe eklemek veya kayıtlı öğeyi kayıtsız kaldırmak **YASAKTIR*…	kanitli	compiler/tests/uyumluluk_testi.rs::dondurulmus_yuzey_envanteri_kaynakla_birebir;compiler/tests/uyumluluk_testi.rs::kapi_kayitsiz_kaldirma_ve_kayitsiz_mezar_tasini_reddeder	
spec/27-uyumluluk-ve-surumleme.md#9f5d62b02e8e4ca2	- Kaldırma ve yeniden adlandırma `docs/deprecation-kayitlari-v1.tsv` içi…	kanitli	compiler/tests/uyumluluk_testi.rs::deprecation_kayitlari_gecerli_ve_kaynakla_tutarli;compiler/tests/uyumluluk_testi.rs::kapi_bozuk_fixture_ve_sureli_olmayan_kaldirmayi_reddeder	
spec/27-uyumluluk-ve-surumleme.md#532afd9befb8b8b3	- Desteklenen yüzeyde kaldırma sürümü duyurudan en az bir alt sürüm seri…	kanitli	compiler/tests/uyumluluk_testi.rs::kapi_bozuk_fixture_ve_sureli_olmayan_kaldirmayi_reddeder	
spec/27-uyumluluk-ve-surumleme.md#5c608b3f59cd65be	- Kaldırılan kelime fixture'da `kaldirildi` mezar taşı olarak kalır ve b…	kanitli	compiler/tests/uyumluluk_testi.rs::kapi_kayitsiz_kaldirma_ve_kayitsiz_mezar_tasini_reddeder;compiler/tests/tani_kimligi_testi.rs::tani_kodlari_surumler_arasi_kimligini_korur	
spec/27-uyumluluk-ve-surumleme.md#15d606bdb76e4dc1	- Kaldırılan biçim sessizce kabul edilmez: derleyici tanı üretir ve öner…	kismi	compiler/tests/semantic_regresyon_korpusu_testi.rs::duzeltilmis_semantic_buglar_tani_span_cikis_ve_ciktiyi_korur	Henüz kaldırılmış bir kullanıcı yüzeyi yok; tanı+öneri kanıtı ilk DEP kaldırmasında regresyon korpusuna eklenecek.
spec/27-uyumluluk-ve-surumleme.md#285d87941dc0c3ba	1.0 sonrasında dondurulmuş yüzeylerde kırıcı değişiklik yalnız yeni ana …	acik	-	Edition alanının `proje.dil` sözdizimi ayrı RFC ister; 1.0 öncesi bağlayıcı yalnız RFC-0028 çerçevesidir.
